Longitude	Latitude	Mean_HF	Median_HF	Total_Erro
-129	-83	100	100	41.5
-127	-83	100	100	41.5
-125	-83	100	100	41.5
-123	-83	100	100	41.5
-121	-83	100	100	41.5
-119	-83	100	100	41.5
-117	-83	100	100	41.5
-115	-83	100	100	41.5
-113	-83	100	100	41.5
-111	-83	100	100	41.5
-109	-83	100	100	41.5
-107	-83	100	100	41.5
-105	-83	100	100	41.5
-103	-83	100	100	41.5
-101	-83	100	100	41.5
-99	-83	100	100	41.5
-97	-83	100	100	41.5
-95	-83	100	100	41.5
-93	-83	100	100	41.5
-91	-83	100	100	41.5
-89	-83	100	100	41.5
-87	-83	100	100	41.5
-85	-83	100	100	41.5
-83	-83	100	100	41.5
-81	-83	100	100	41.5
-79	-83	100	100	41.5
-77	-83	100	100	41.5
-75	-83	100	100	41.5
-73	-83	100	100	41.5
-71	-83	100	100	41.5
-69	-83	100	100	41.5
-67	-83	100	100	41.5
-65	-83	100	100	41.5
-63	-83	100	100	41.5
-61	-83	100	100	41.5
-59	-83	100	100	41.5
-57	-83	100	100	41.5
-55	-83	100	100	41.5
-53	-83	100	100	41.5
-51	-83	100	100	41.5
-49	-83	65	65	41.5
-47	-83	65	65	41.5
-45	-83	65	65	41.5
-43	-83	65	65	41.5
-41	-83	65	65	41.5
-39	-83	65	65	41.5
-37	-83	65	65	41.5
-35	-83	65	65	41.5
-33	-83	65	65	41.5
-31	-83	65	65	41.5
-29	-83	65	65	41.5
-27	-83	65	65	41.5
-25	-83	65	65	41.5
-23	-83	65	65	41.5
-21	-83	65	65	41.5
-19	-83	65	65	41.5
-17	-83	65	65	41.5
-15	-83	65	65	41.5
-13	-83	65	65	41.5
-11	-83	65	65	41.5
-9	-83	65	65	41.5
-7	-83	65	65	41.5
-5	-83	65	65	41.5
-3	-83	65	65	41.5
-1	-83	65	65	41.5
1	-83	65	65	41.5
3	-83	65	65	41.5
5	-83	65	65	41.5
7	-83	65	65	41.5
9	-83	65	65	41.5
11	-83	65	65	41.5
13	-83	65	65	41.5
15	-83	65	65	41.5
17	-83	65	65	41.5
19	-83	65	65	41.5
21	-83	65	65	41.5
23	-83	65	65	41.5
